GID	fy-1_KO1	fy-1_KO2	fy-1_KO3	fy-2_KO1	fy-2_KO2	fy-2_KO3	fy-4_KO1	fy-4_KO2	fy-4_KO3	fy-5_KO1	fy-5_KO2	fy-5_KO3	wt_1	wt_2	wt_3
N_unmapped	21501758	14869105	13247861	14494385	13040253	11952915	15222983	12448629	13599320	12440218	13883415	12828977	17359917	19654977	17523561
N_multimapping	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N_noFeature	21469294	22380469	24184545	26413005	26851984	27750888	21915436	21485648	21331186	26289304	23351477	21004878	25005705	23406843	21369740
N_ambiguous	4214196	2930260	2753066	2801228	2973540	2612770	3552453	2837547	3007814	3636922	3124712	3242532	3475218	3451936	3694677
ENSG00000223972	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000227232	289	274	268	307	287	324	261	234	242	278	278	262	234	258	290
ENSG00000278267	0	0	0	0	0	1	1	0	1	2	0	0	2	2	0
ENSG00000243485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	0	0	0	0	0	1	1	4	1	0	0	0	0	1	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268903	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0
ENSG00000269981	0	0	0	0	0	0	0	2	4	0	0	0	1	0	0
ENSG00000239906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241860	19	1	6	7	4	27	9	3	3	5	6	4	9	4	1
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0
ENSG00000279457	124	96	82	111	117	69	114	85	92	114	78	94	113	94	118
ENSG00000273874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	2	2	2	1	2	1	3	4	3	5	6	8	2	2	2
ENSG00000241670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236743	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	3	4	11	4	6	4	7	8	8	5	4	2	3	1	2
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	20	23	18	16	15	13	10	19	5	18	9	8	15	3	14
ENSG00000235146	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000225972	6	10	2	8	3	5	14	4	3	5	1	1	2	4	6
ENSG00000225630	111	67	64	71	95	79	47	84	53	110	101	75	67	85	98
ENSG00000237973	2080	1326	1283	1234	1415	1330	1623	1204	1239	1960	1334	1335	1862	1870	2084
ENSG00000278791	3	5	2	7	0	0	0	0	2	0	0	2	0	2	2
ENSG00000229344	27	21	26	15	24	24	33	16	13	30	18	22	26	21	36
ENSG00000240409	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2
ENSG00000248527	2500	2106	2194	1731	2529	2239	1898	1691	1934	3335	2041	2349	2282	2595	2827
ENSG00000198744	16	14	8	8	13	14	27	6	18	16	11	15	16	15	20
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283574	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000228327	275	239	274	295	339	318	307	245	313	311	275	229	279	285	262
ENSG00000223181	0	4	1	6	5	7	1	5	7	3	7	2	5	3	1
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237491	60	94	100	189	217	184	97	99	113	128	126	112	139	116	106
ENSG00000230092	24	17	39	35	49	29	23	20	14	15	20	14	14	17	20
ENSG00000177757	0	1	0	3	0	3	1	4	0	2	0	1	1	0	1
ENSG00000228794	961	693	763	571	704	582	690	634	648	857	707	759	845	810	775
ENSG00000225880	56	29	38	39	59	43	35	33	25	66	40	31	35	39	49
ENSG00000230368	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234711	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2
ENSG00000283040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	39	36	24	18	26	24	33	30	30	30	22	22	29	32	33
ENSG00000230699	162	138	136	74	131	100	100	103	113	87	88	72	111	129	77
ENSG00000241180	0	1	0	0	2	0	0	2	1	0	0	0	0	0	0
ENSG00000223764	311	293	292	258	344	324	409	396	368	409	419	456	471	496	436
ENSG00000187634	2041	1407	1419	1275	1392	1172	2703	2421	2339	1761	1794	1878	1727	1645	1721
ENSG00000188976	14508	10420	9420	8594	9327	7670	10899	9238	8966	11649	9668	9991	12123	11993	12322
ENSG00000187961	640	576	478	484	571	556	639	589	519	562	547	576	672	612	638
ENSG00000187583	123	144	92	130	126	139	180	159	150	134	108	123	156	212	152
ENSG00000187642	2	3	2	1	0	0	1	0	2	0	0	2	4	1	3
ENSG00000272512	65	66	78	27	42	44	113	83	153	39	57	63	61	57	61
ENSG00000188290	1193	925	930	740	671	790	1135	1099	1096	870	906	832	1028	1139	1157
ENSG00000187608	1688	1272	1137	727	711	722	768	640	697	377	371	382	1707	1725	1711
ENSG00000231702	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224969	5	4	1	2	2	2	0	1	1	0	2	4	0	2	1
ENSG00000188157	11545	9112	8565	14297	14579	13478	9959	8985	8805	10380	9718	9892	11813	11866	11335
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	146	91	122	44	46	48	152	133	153	91	105	83	79	111	96
ENSG00000273443	16	11	9	12	6	4	49	26	15	11	24	12	12	14	8
ENSG00000237330	35	30	17	17	8	9	20	12	14	15	13	23	14	20	10
ENSG00000131591	1136	945	889	917	905	907	988	951	890	1043	879	983	1005	1005	1048
ENSG00000223823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186891	0	1	0	0	1	1	0	2	0	0	1	0	0	1	2
ENSG00000186827	1	3	2	0	2	1	5	2	2	5	4	6	0	1	1
ENSG00000078808	8462	5769	5497	5235	5682	4942	6955	5931	5859	6239	5858	5878	7136	6834	7227
ENSG00000176022	1469	981	908	1230	1465	1292	1050	880	920	1035	927	976	1285	1277	1361
ENSG00000184163	22	23	25	9	18	19	39	22	28	28	23	31	16	22	16
ENSG00000260179	10	21	9	6	10	10	6	8	8	11	15	16	20	11	6
ENSG00000160087	2754	2010	1798	1754	2018	1742	1944	1651	1605	2131	1934	1878	2131	1910	2056
ENSG00000230415	7	15	12	7	5	11	13	15	19	23	5	10	7	11	15
ENSG00000162572	112	128	97	51	59	61	106	100	108	63	68	84	86	88	84
ENSG00000131584	1903	1643	1441	1282	1430	1373	2061	1963	1891	1634	1536	1575	1524	1472	1493
ENSG00000278073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972	1521	1108	965	1095	1224	977	1245	1012	1036	1157	1028	1080	1349	1296	1276
