""	"KO1_fy1"	"KO2_fy1"	"KO3_fy1"	"KO1_fy2"	"KO2_fy2"	"KO3_fy2"	"KO1_fy4"	"KO2_fy4"	"KO3_fy4"	"KO1_fy5"	"KO2_fy5"	"KO3_fy5"	"HeLa1_wt"	"HeLa2_wt"	"HeLa3_wt"
"TSPAN6"	1699	1184	1053	1316	1457	1232	1274	1030	1074	1226	1182	1202	1548	1414	1509
"TNMD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DPM1"	1759	1347	1306	1473	1507	1345	1542	1285	1261	1905	1546	1476	1702	1623	1852
"SCYL3"	1094	822	826	865	861	791	997	841	872	750	606	620	910	877	913
"C1orf112"	2832	2121	2143	2346	2511	2168	2314	1867	1871	2049	1862	1789	2089	2085	2120
"FGR"	6	0	2	0	0	0	3	4	1	1	0	0	1	0	2
"CFH"	515	304	369	707	767	734	171	166	205	0	0	0	358	387	412
"FUCA2"	9089	6207	6021	5699	6423	5133	7645	6268	6390	7385	6516	6783	7651	7512	7883
"GCLC"	3521	2797	2598	3170	3449	2906	3048	2618	2638	3440	2911	2845	3309	3194	3296
"NFYA"	2456	1908	1851	2059	2269	1903	1880	1543	1635	2436	1875	2020	2287	2198	2198
"STPG1"	229	164	167	150	173	170	307	280	292	208	188	183	214	196	218
"NIPAL3"	1207	780	747	845	839	814	938	838	887	960	875	866	919	994	911
"LAS1L"	6242	4660	4159	4826	5360	4421	4585	3884	3969	5468	4648	4765	5619	5491	5688
"ENPP4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SEMA3F"	12389	8447	8357	5683	5678	5069	10392	8805	8583	8595	8089	7914	8468	8507	8743
"CFTR"	11	11	4	9	8	9	1	0	3	3	6	1	4	3	2
"ANKIB1"	6188	4756	4483	4494	4888	4312	5512	4653	5015	6071	5419	5309	5654	5605	5821
"CYP51A1"	282	203	199	189	243	209	236	195	151	273	197	231	230	243	246
"KRIT1"	2721	2087	2215	2373	2584	2189	2465	2154	2077	2748	2195	2082	2350	2262	2379
"RAD52"	775	605	613	833	904	736	846	786	807	800	747	753	840	842	852
"BAD"	574	422	406	316	319	317	710	590	577	628	605	576	493	491	493
"LAP3"	2104	1519	1450	1596	1783	1462	1471	1337	1325	1770	1600	1589	1939	1970	1991
"CD99"	1848	1246	1288	956	1049	894	1026	924	855	1249	1226	1191	1348	1348	1466
"HS3ST1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AOC1"	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1
"WNT16"	8	3	1	8	9	7	1	2	4	6	0	0	4	0	2
"HECW1"	692	522	604	468	499	510	769	788	743	464	430	399	717	676	626
"MAD1L1"	1553	1215	1179	1183	1491	1293	1474	1255	1192	1506	1328	1330	1505	1497	1437
"LASP1"	30278	21142	19471	18036	19931	16452	29006	24731	24330	25100	20958	22026	21689	21294	22468
"SNX11"	1292	932	847	961	987	880	1082	930	976	1211	966	984	1107	1003	1094
"TMEM176A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"M6PR"	10982	7774	7345	7950	9059	7380	7796	6770	6706	10018	8640	8802	9348	9008	9725
"KLHL13"	6769	4886	4692	4867	4989	4728	5258	4547	4585	5841	5078	5224	6607	6422	6707
"CYP26B1"	1273	902	857	981	998	824	1234	1071	1080	923	812	885	1264	1315	1308
"ICA1"	7	2	2	2	0	1	2	2	1	1	2	3	1	5	4
"DBNDD1"	964	650	604	335	274	343	560	505	506	338	278	282	630	735	708
"ALS2"	1277	921	985	1048	1066	1046	972	784	796	1169	937	994	1145	1081	1104
"CASP10"	444	319	271	375	355	354	480	433	430	391	328	276	432	419	441
"CFLAR"	2570	2077	2145	2560	2834	2369	2268	2107	2093	2284	2031	2045	2367	2122	2214
"TFPI"	4826	3355	3327	4382	4612	4230	5245	4138	4447	3449	3143	2950	4370	4249	4567
"NDUFAF7"	1571	1278	1274	1281	1355	1215	1276	1115	1082	1503	1441	1403	1629	1653	1645
"RBM5"	3519	3100	3034	3913	4292	3752	3895	3475	3590	4290	3776	3604	3788	3646	3708
"MTMR7"	5	3	4	6	0	7	1	8	2	3	6	3	7	6	7
"SLC7A2"	11756	8565	8301	5294	5184	4923	5468	4705	4791	7683	6285	6423	8088	7797	8048
"ARF5"	2991	1964	1791	1887	2282	1841	2425	2101	2121	2281	2116	2169	2445	2478	2621
"SARM1"	631	553	571	455	382	435	821	797	776	470	478	424	585	490	526
"POLDIP2"	11496	7978	7145	7424	8283	6789	9367	8111	7985	8913	7725	8037	10463	9974	10546
"PLXND1"	11082	7906	7647	6189	6605	6139	10450	9135	9183	11273	10300	10251	9792	9879	9698
"AK2"	18332	13412	12546	14577	16367	13499	14931	12696	12773	16339	14227	14189	17829	17477	18175
"CD38"	1	2	0	0	0	0	2	0	0	1	1	2	1	0	5
"FKBP4"	24920	17247	15695	17203	18789	14965	18267	15720	14994	19153	15706	16297	19343	18973	19892
"KDM1A"	8837	6287	5786	6860	7416	6222	7389	6292	6384	7648	6528	6638	7727	7678	7991
"RBM6"	3419	2595	2673	3014	3437	3154	3173	2697	2611	3590	3000	2947	3010	2732	2892
"CAMKK1"	1742	1258	1204	1349	1701	1409	1603	1280	1256	1459	1335	1237	1536	1501	1488
"RECQL"	7805	5522	5328	5440	6019	4827	5670	4767	5028	6931	6353	6210	7221	6970	7442
"VPS50"	2588	1927	1940	2208	2383	2057	2003	1758	1789	2389	1984	2089	2340	2174	2469
"HSPB6"	4	5	0	4	7	8	4	3	1	1	3	2	8	3	3
"ARHGAP33"	216	235	194	172	231	175	191	169	168	235	197	232	173	181	191
"NDUFAB1"	4600	3237	3038	3089	3173	2865	3758	3175	3252	3463	3299	3185	3968	3815	4095
"PDK4"	6119	3895	4486	1185	1233	1081	4083	3627	3880	3792	4036	3901	2237	2044	2430
"SLC22A16"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"ZMYND10"	34	14	20	30	20	23	26	22	19	27	22	27	27	33	34
"ABCB5"	0	0	0	4	2	2	0	0	0	0	0	0	1	0	0
"ARX"	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
"SLC25A13"	7193	5001	4845	4935	5728	4603	5855	5083	5300	5763	5038	5222	6673	6326	6866
"ST7"	2872	2101	2120	2279	2613	2300	2002	1785	1699	2828	2376	2456	2297	2117	2309
"CDC27"	12599	9292	8772	9491	10930	8534	9786	8499	8601	11393	9268	9519	10035	9478	10339
"SLC4A1"	2	1	0	0	0	0	0	1	1	0	0	0	0	0	3
"CALCR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HCCS"	5367	3844	3544	3840	4289	3411	4238	3564	3565	4246	3720	3686	4607	4336	4919
"DVL2"	3597	2521	2499	2637	2676	2415	3311	2853	2791	2744	2508	2544	2784	2902	2960
"PRSS22"	2	1	0	0	1	0	0	8	0	0	1	0	0	0	0
"UPF1"	8926	6139	5918	7492	7897	6875	5122	4286	4328	6955	6209	6201	8006	7624	7820
"SKAP2"	2014	1447	1389	2094	2223	1902	1650	1391	1557	1547	1381	1331	2085	1974	2023
"SLC25A5"	34353	23340	21845	20771	23413	18975	25321	21500	21133	27214	25205	25573	29080	28007	29411
"MCUB"	508	381	308	454	477	408	376	379	345	599	548	530	505	527	584
"HOXA11"	691	471	420	476	564	474	453	375	369	371	386	397	613	628	620
"POLR2J"	1290	898	913	868	942	783	1073	818	872	1044	936	917	1027	946	1100
"DHX33"	7577	5433	5163	6266	6684	5486	5759	4845	4753	6321	5509	5453	7081	6750	6942
"MEOX1"	2161	1495	1428	1463	1343	1421	3106	2862	2766	1759	1823	1697	1198	1180	1286
"THSD7A"	1	4	4	3	1	2	1	1	1	0	0	0	1	2	4
"LIG3"	5116	3751	3644	4345	4802	3870	3200	2776	2781	4238	3480	3632	4451	4323	4203
"RPAP3"	4852	3511	3344	3732	4335	3407	3670	3018	3290	4376	3500	3534	4147	3839	4305
"ACSM3"	16	8	13	36	15	24	7	3	9	8	17	12	19	8	8
"REXO5"	628	529	433	580	711	626	662	606	613	545	509	493	752	690	713
"CIAPIN1"	5650	4010	3675	4069	4486	3752	4641	3874	3877	4463	3805	4051	4674	4382	4753
"SPPL2B"	1564	1335	1337	1431	1549	1536	1146	956	967	1450	1345	1383	1631	1505	1478
"ATOSB"	1249	876	813	583	557	554	1131	1078	1021	835	845	879	867	904	928
