""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CFH"	337.231914388899	1.14461825072792	0.110869615046469	10.3240031116566	5.48859658715428e-25	1.21313137143375e-23
"ACSM3"	13.5753949125942	1.32582582319334	0.515982310234744	2.56951797938608	0.0101840107030816	0.0241782171733294
"USH1C"	8.21091929942352	-4.85128648713641	1.3103586965043	-3.70225839694	0.000213688817532257	0.000739624410741728
"IL32"	94.1030019478147	-1.05603347597316	0.239000950194147	-4.41853254188032	9.93733194772757e-06	4.3754014878919e-05
"DCN"	761.466918942769	1.14510708887682	0.0739226944803834	15.4906026752136	4.01508956785525e-54	2.85031801785035e-52
"NPC1L1"	24.6757484204325	-1.65636141273694	0.467557418821004	-3.54258396094672	0.000396227267525857	0.00129655566582995
"LRRC7"	77.3665501267519	1.44977622600721	0.188386877095772	7.69573894082961	1.40678774582413e-14	1.67270777269567e-13
"CDH1"	163.142344739759	1.97539226736702	0.149990103257581	13.1701507263759	1.30337206960339e-39	5.5243808514866e-38
"CDH10"	6728.4023294056	-1.09210159750618	0.0451692262830707	-24.1780009837251	3.79116478123565e-129	1.70732736444959e-126
"EPHA3"	1.96548626409387	-5.50145705269164	1.67516219939497	-3.28413395113539	0.00102296289202655	0.00306102953425967
"GPM6B"	139.798009302344	-4.66230447480367	0.375400141961557	-12.4195597008621	2.04684869364673e-35	7.3012714168671e-34
"HDAC9"	39.7219288199674	1.11582355528214	0.276904249455018	4.02963680578476	5.58630971451286e-05	0.000216817423366132
"TNFRSF9"	104.381195197128	-1.60937477880164	0.260463221818299	-6.17889453860921	6.45519966757458e-10	4.85015028203427e-09
"LTBP1"	289.176550913782	-5.15787913500263	0.218620919247352	-23.5927977650067	4.56944544331711e-123	1.68846867393956e-120
"CHRDL2"	41.2226733763509	-1.99778984327274	0.365284881599412	-5.46912818982638	4.52254577426161e-08	2.76866640411572e-07
"SERPINB3"	3.3735936254464	-4.54804046610553	1.49097163574946	-3.05038698058088	0.00228546679364229	0.00633625663008446
"CDK14"	51.2349761204494	-3.49137956624199	0.280653218558299	-12.4401907242576	1.58125900709042e-35	5.66853819681094e-34
"GNA15"	20.9818563516998	-2.61749432369883	0.466761690705916	-5.6077745363811	2.04944764301405e-08	1.30741876863548e-07
"CREB3L3"	12.1329664942084	1.511011966829	0.626407090845204	2.4121884776084	0.0158570819014228	0.0357559704711944
"SLC9A3R2"	595.325277331234	-2.27770439415883	0.106923412990281	-21.30220435786	1.08302760280163e-100	2.36477436120821e-98
"COL17A1"	18.2981513875694	-1.91271469735819	0.495864068524988	-3.85733675571171	0.000114629185619007	0.00041916295203134
"NEO1"	444.905888305553	1.2290814342927	0.0826055316978247	14.8789240748277	4.51705215023426e-50	2.83022776247939e-48
"PHKA1"	698.928028246407	-4.97547068620784	0.180089717635634	-27.6277332849976	5.16835826498643e-168	5.32008649690853e-165
"SPTB"	49.2160065351193	1.38791415285864	0.248413398159565	5.58711471740802	2.308732236762e-08	1.46311082955045e-07
"SLC12A3"	2953.9114600668	2.47189738305663	0.0513688546596442	48.1205469624491	0	0
"SLC6A15"	1.86333247967825	-5.60412235588803	1.77916407180841	-3.14986259260047	0.00163347269543064	0.00467991550971192
"CLCN4"	8.19426574676765	5.28288748303367	0.981233614483832	5.38392428169379	7.28791710964708e-08	4.32384411145015e-07
"FRY"	215.192604629082	1.20220865533257	0.115078882282462	10.4468224880889	1.51516776698868e-25	3.42779948038836e-24
"ATP2A3"	289.878084762418	-2.14453705731302	0.142119846311539	-15.0896381678601	1.89478520910803e-51	1.25255732332366e-49
"NEBL"	473.609483460647	-1.08601351327825	0.103282929555787	-10.5149371532074	7.3729946374985e-26	1.69731989969634e-24
"TNS1"	4598.70670851517	-4.77252793330842	0.0781437978571453	-61.0736624553759	0	0
"DUSP13"	11.6284061470656	-2.11484667601089	0.644105367617167	-3.28338620097928	0.00102568046084263	0.00306788732279019
"RIMS1"	3576.69847048447	1.42782605136829	0.0425621844417434	33.5468226101649	1.00166051320354e-246	1.44349296557762e-243
"IGSF9B"	7.29673482552922	-6.48057123804333	1.29694761938224	-4.99678718029502	5.82933394315957e-07	3.09188558906414e-06
"ATP8B1"	16.435760398325	-1.67455172461728	0.567835829087253	-2.94900680590899	0.00318796955381808	0.00853461438604354
"EFR3B"	2211.59236674396	-1.25056003251973	0.0570963645077165	-21.9026210040171	2.45259094992054e-106	6.09384278953534e-104
"ABCB1"	24.1391910731036	-3.19060363684558	0.442289948706011	-7.21382804691853	5.44004446453279e-13	5.59575166155475e-12
"ALG9"	876.622809129828	-1.34459894732364	0.0671177382053713	-20.0334365143436	2.81542606415672e-89	4.94793963543444e-87
"DNAAF9"	14.5377268820406	-1.23418043087486	0.424172177043875	-2.90962136997307	0.00361866852708182	0.00956680098032949
"P2RX7"	3.44469047601132	3.47605390119206	1.31881584264183	2.63573865948478	0.00839543638378793	0.0202963653291005
"THPO"	8.92512528273743	2.63609320110259	0.780800162078861	3.37614325550862	0.000735096334528012	0.00226695340827802
"NLRP1"	60.3472162857718	-1.91987731490204	0.372134749031895	-5.15909175344841	2.48150685526028e-07	1.37754219149291e-06
