""	"x"
"1"	"ENSG00000223764"
"2"	"ENSG00000188157"
"3"	"ENSG00000160087"
"4"	"ENSG00000131584"
"5"	"ENSG00000107404"
"6"	"ENSG00000157870"
"7"	"ENSG00000130762"
"8"	"ENSG00000198912"
"9"	"ENSG00000116251"
"10"	"ENSG00000187017"
"11"	"ENSG00000116273"
"12"	"ENSG00000049246"
"13"	"ENSG00000049249"
"14"	"ENSG00000171621"
"15"	"ENSG00000160049"
"16"	"ENSG00000116661"
"17"	"ENSG00000132906"
"18"	"ENSG00000065526"
"19"	"ENSG00000173641"
"20"	"ENSG00000185519"
"21"	"ENSG00000159363"
"22"	"ENSG00000162545"
"23"	"ENSG00000244038"
"24"	"ENSG00000127483"
"25"	"ENSG00000076864"
"26"	"ENSG00000142798"
"27"	"ENSG00000179546"
"28"	"ENSG00000117305"
"29"	"ENSG00000142669"
"30"	"ENSG00000158246"
"31"	"ENSG00000090020"
"32"	"ENSG00000142733"
"33"	"ENSG00000158195"
"34"	"ENSG00000126705"
"35"	"ENSG00000117748"
"36"	"ENSG00000130770"
"37"	"ENSG00000180198"
"38"	"ENSG00000242125"
"39"	"ENSG00000188060"
"40"	"ENSG00000162419"
"41"	"ENSG00000142910"
"42"	"ENSG00000084636"
"43"	"ENSG00000121753"
"44"	"ENSG00000134668"
"45"	"ENSG00000160051"
"46"	"ENSG00000175130"
"47"	"ENSG00000162520"
"48"	"ENSG00000162522"
"49"	"ENSG00000116514"
"50"	"ENSG00000004455"
"51"	"ENSG00000134698"
"52"	"ENSG00000092847"
"53"	"ENSG00000116863"
"54"	"ENSG00000054118"
"55"	"ENSG00000214193"
"56"	"ENSG00000163874"
"57"	"ENSG00000134697"
"58"	"ENSG00000214114"
"59"	"ENSG00000174574"
"60"	"ENSG00000127603"
"61"	"ENSG00000084072"
"62"	"ENSG00000084073"
"63"	"ENSG00000272145"
"64"	"ENSG00000179862"
"65"	"ENSG00000171793"
"66"	"ENSG00000164011"
"67"	"ENSG00000117394"
"68"	"ENSG00000227533"
"69"	"ENSG00000117399"
"70"	"ENSG00000066322"
"71"	"ENSG00000196517"
"72"	"ENSG00000199377"
"73"	"ENSG00000142945"
"74"	"ENSG00000162415"
"75"	"ENSG00000186603"
"76"	"ENSG00000132781"
"77"	"ENSG00000159592"
"78"	"ENSG00000159596"
"79"	"ENSG00000197429"
"80"	"ENSG00000237424"
"81"	"ENSG00000123080"
"82"	"ENSG00000157077"
"83"	"ENSG00000116171"
"84"	"ENSG00000157184"
"85"	"ENSG00000081870"
"86"	"ENSG00000116212"
"87"	"ENSG00000162390"
"88"	"ENSG00000132849"
"89"	"ENSG00000079739"
"90"	"ENSG00000162437"
"91"	"ENSG00000162434"
"92"	"ENSG00000162433"
"93"	"ENSG00000116678"
"94"	"ENSG00000116717"
"95"	"ENSG00000024526"
"96"	"ENSG00000066557"
"97"	"ENSG00000118454"
"98"	"ENSG00000116761"
"99"	"ENSG00000132485"
"100"	"ENSG00000162623"
"101"	"ENSG00000117054"
"102"	"ENSG00000142892"
"103"	"ENSG00000036549"
"104"	"ENSG00000077254"
"105"	"ENSG00000162613"
"106"	"ENSG00000137959"
"107"	"ENSG00000137965"
"108"	"ENSG00000117151"
"109"	"ENSG00000153904"
"110"	"ENSG00000142871"
"111"	"ENSG00000153936"
"112"	"ENSG00000117226"
"113"	"ENSG00000122482"
"114"	"ENSG00000069702"
"115"	"ENSG00000174842"
"116"	"ENSG00000122483"
"117"	"ENSG00000137936"
"118"	"ENSG00000023909"
"119"	"ENSG00000117525"
"120"	"ENSG00000172339"
"121"	"ENSG00000117620"
"122"	"ENSG00000137992"
"123"	"ENSG00000162694"
"124"	"ENSG00000134215"
"125"	"ENSG00000162636"
"126"	"ENSG00000116266"
"127"	"ENSG00000121957"
"128"	"ENSG00000134222"
"129"	"ENSG00000134243"
"130"	"ENSG00000143028"
"131"	"ENSG00000181754"
"132"	"ENSG00000168765"
"133"	"ENSG00000168710"
"134"	"ENSG00000258634"
"135"	"ENSG00000121931"
"136"	"ENSG00000143079"
"137"	"ENSG00000155363"
"138"	"ENSG00000052723"
"139"	"ENSG00000116815"
"140"	"ENSG00000143061"
"141"	"ENSG00000198162"
"142"	"ENSG00000143067"
"143"	"ENSG00000265808"
"144"	"ENSG00000270872"
"145"	"ENSG00000207205"
"146"	"ENSG00000277918"
"147"	"ENSG00000276216"
"148"	"ENSG00000162825"
"149"	"ENSG00000174827"
"150"	"ENSG00000265491"
"151"	"ENSG00000186141"
"152"	"ENSG00000271601"
"153"	"ENSG00000265972"
"154"	"ENSG00000201558"
"155"	"ENSG00000131778"
"156"	"ENSG00000116128"
"157"	"ENSG00000274210"
"158"	"ENSG00000183598"
"159"	"ENSG00000184678"
"160"	"ENSG00000117360"
"161"	"ENSG00000163125"
"162"	"ENSG00000143369"
"163"	"ENSG00000143382"
"164"	"ENSG00000143384"
"165"	"ENSG00000143437"
"166"	"ENSG00000143418"
"167"	"ENSG00000143458"
"168"	"ENSG00000163159"
"169"	"ENSG00000143398"
"170"	"ENSG00000159352"
"171"	"ENSG00000143373"
"172"	"ENSG00000143393"
"173"	"ENSG00000143390"
"174"	"ENSG00000143442"
"175"	"ENSG00000143375"
"176"	"ENSG00000143367"
"177"	"ENSG00000143436"
"178"	"ENSG00000197747"
"179"	"ENSG00000163191"
"180"	"ENSG00000197956"
"181"	"ENSG00000188643"
"182"	"ENSG00000169418"
"183"	"ENSG00000143624"
"184"	"ENSG00000143554"
"185"	"ENSG00000143543"
"186"	"ENSG00000143549"
"187"	"ENSG00000160710"
"188"	"ENSG00000160691"
"189"	"ENSG00000173207"
"190"	"ENSG00000160685"
"191"	"ENSG00000232093"
"192"	"ENSG00000169242"
"193"	"ENSG00000185499"
"194"	"ENSG00000173171"
"195"	"ENSG00000116521"
"196"	"ENSG00000160753"
"197"	"ENSG00000116539"
"198"	"ENSG00000163374"
"199"	"ENSG00000116584"
"200"	"ENSG00000160803"
"201"	"ENSG00000160789"
"202"	"ENSG00000160783"
"203"	"ENSG00000198952"
"204"	"ENSG00000163468"
"205"	"ENSG00000116604"
"206"	"ENSG00000183856"
"207"	"ENSG00000160818"
"208"	"ENSG00000143319"
"209"	"ENSG00000143321"
"210"	"ENSG00000143294"
"211"	"ENSG00000027869"
"212"	"ENSG00000132694"
"213"	"ENSG00000117036"
"214"	"ENSG00000183853"
"215"	"ENSG00000163565"
"216"	"ENSG00000158710"
"217"	"ENSG00000085552"
"218"	"ENSG00000224259"
"219"	"ENSG00000143315"
"220"	"ENSG00000162729"
"221"	"ENSG00000162734"
"222"	"ENSG00000132716"
"223"	"ENSG00000162735"
"224"	"ENSG00000162736"
"225"	"ENSG00000143222"
"226"	"ENSG00000143258"
"227"	"ENSG00000158850"
"228"	"ENSG00000158859"
"229"	"ENSG00000143252"
"230"	"ENSG00000081721"
"231"	"ENSG00000118217"
"232"	"ENSG00000198929"
"233"	"ENSG00000239887"
"234"	"ENSG00000152332"
"235"	"ENSG00000143228"
"236"	"ENSG00000143157"
"237"	"ENSG00000152382"
"238"	"ENSG00000143190"
"239"	"ENSG00000143158"
"240"	"ENSG00000213064"
"241"	"ENSG00000143153"
"242"	"ENSG00000000460"
"243"	"ENSG00000075945"
"244"	"ENSG00000120370"
"245"	"ENSG00000010165"
"246"	"ENSG00000094975"
"247"	"ENSG00000076321"
"248"	"ENSG00000120334"
"249"	"ENSG00000234741"
"250"	"ENSG00000135870"
"251"	"ENSG00000116161"
"252"	"ENSG00000235750"
"253"	"ENSG00000143207"
"254"	"ENSG00000075391"
"255"	"ENSG00000116191"
"256"	"ENSG00000116199"
"257"	"ENSG00000143322"
"258"	"ENSG00000169905"
"259"	"ENSG00000143337"
"260"	"ENSG00000135837"
"261"	"ENSG00000230124"
"262"	"ENSG00000153029"
"263"	"ENSG00000162783"
"264"	"ENSG00000135828"
"265"	"ENSG00000135838"
"266"	"ENSG00000135829"
"267"	"ENSG00000135862"
"268"	"ENSG00000116698"
"269"	"ENSG00000116701"
"270"	"ENSG00000162704"
"271"	"ENSG00000116406"
"272"	"ENSG00000135842"
"273"	"ENSG00000116668"
"274"	"ENSG00000116679"
"275"	"ENSG00000116690"
"276"	"ENSG00000073756"
"277"	"ENSG00000116711"
"278"	"ENSG00000116741"
"279"	"ENSG00000134371"
"280"	"ENSG00000066279"
"281"	"ENSG00000177888"
"282"	"ENSG00000151414"
"283"	"ENSG00000203721"
"284"	"ENSG00000162702"
"285"	"ENSG00000118193"
"286"	"ENSG00000118197"
"287"	"ENSG00000118200"
"288"	"ENSG00000174307"
"289"	"ENSG00000159176"
"290"	"ENSG00000163435"
"291"	"ENSG00000077157"
"292"	"ENSG00000117139"
"293"	"ENSG00000159348"
"294"	"ENSG00000159388"
"295"	"ENSG00000058668"
"296"	"ENSG00000182004"
"297"	"ENSG00000143842"
"298"	"ENSG00000158615"
"299"	"ENSG00000133056"
"300"	"ENSG00000170382"
"301"	"ENSG00000117222"
"302"	"ENSG00000163545"
"303"	"ENSG00000158711"
"304"	"ENSG00000158715"
"305"	"ENSG00000117280"
"306"	"ENSG00000133065"
"307"	"ENSG00000266028"
"308"	"ENSG00000263528"
"309"	"ENSG00000266094"
"310"	"ENSG00000143486"
"311"	"ENSG00000143479"
"312"	"ENSG00000162889"
"313"	"ENSG00000123836"
"314"	"ENSG00000180667"
"315"	"ENSG00000123843"
"316"	"ENSG00000196352"
"317"	"ENSG00000076356"
"318"	"ENSG00000196878"
"319"	"ENSG00000117597"
"320"	"ENSG00000082497"
"321"	"ENSG00000082512"
"322"	"ENSG00000170385"
"323"	"ENSG00000227764"
"324"	"ENSG00000117650"
"325"	"ENSG00000123684"
"326"	"ENSG00000143493"
"327"	"ENSG00000066027"
"328"	"ENSG00000162769"
"329"	"ENSG00000136643"
"330"	"ENSG00000143499"
"331"	"ENSG00000152104"
"332"	"ENSG00000117724"
"333"	"ENSG00000136636"
"334"	"ENSG00000162813"
"335"	"ENSG00000118873"
"336"	"ENSG00000186205"
"337"	"ENSG00000154305"
"338"	"ENSG00000162819"
"339"	"ENSG00000228106"
"340"	"ENSG00000154309"
"341"	"ENSG00000162909"
"342"	"ENSG00000143514"
"343"	"ENSG00000143756"
"344"	"ENSG00000143753"
"345"	"ENSG00000143748"
"346"	"ENSG00000185842"
"347"	"ENSG00000143815"
"348"	"ENSG00000154380"
"349"	"ENSG00000143819"
"350"	"ENSG00000182827"
"351"	"ENSG00000143799"
"352"	"ENSG00000143801"
"353"	"ENSG00000143776"
"354"	"ENSG00000143740"
"355"	"ENSG00000276255"
"356"	"ENSG00000181873"
"357"	"ENSG00000154358"
"358"	"ENSG00000181218"
"359"	"ENSG00000196890"
"360"	"ENSG00000168159"
"361"	"ENSG00000116574"
"362"	"ENSG00000154429"
"363"	"ENSG00000069248"
"364"	"ENSG00000135763"
"365"	"ENSG00000177614"
"366"	"ENSG00000135775"
"367"	"ENSG00000116906"
"368"	"ENSG00000135766"
"369"	"ENSG00000116991"
"370"	"ENSG00000135778"
"371"	"ENSG00000143674"
"372"	"ENSG00000135750"
"373"	"ENSG00000183780"
"374"	"ENSG00000168275"
"375"	"ENSG00000059588"
"376"	"ENSG00000168264"
"377"	"ENSG00000280587"
"378"	"ENSG00000054267"
"379"	"ENSG00000116957"
"380"	"ENSG00000162885"
"381"	"ENSG00000143669"
"382"	"ENSG00000119285"
"383"	"ENSG00000116984"
"384"	"ENSG00000198626"
"385"	"ENSG00000155816"
"386"	"ENSG00000054277"
"387"	"ENSG00000174371"
"388"	"ENSG00000143702"
"389"	"ENSG00000035687"
"390"	"ENSG00000121644"
"391"	"ENSG00000203666"
"392"	"ENSG00000162851"
"393"	"ENSG00000143653"
"394"	"ENSG00000153207"
"395"	"ENSG00000175137"
"396"	"ENSG00000171161"
"397"	"ENSG00000185220"
"398"	"ENSG00000130508"
"399"	"ENSG00000182551"
"400"	"ENSG00000115738"
"401"	"ENSG00000134318"
"402"	"ENSG00000134324"
"403"	"ENSG00000178295"
