""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PDK4"	3175.3526042154	1.00894074868666	0.0679863060340891	14.8403525289456	8.03326908302386e-50	3.62907337791401e-48
"MEOX1"	1803.82386887183	1.47254247481403	0.0659694064114465	22.3215965538614	2.28001225283411e-110	7.46755831263462e-108
"PON1"	17.3778255128242	1.60334921502832	0.45861573515099	3.4960623723485	0.00047217831549626	0.00134904078204136
"CACNG3"	12.3659489322405	1.31177124413069	0.478514518906763	2.74134052844964	0.0061189055404248	0.0140078709679209
"GAS7"	94.4419694397474	-2.08854723327682	0.25008825733516	-8.3512407001094	6.75496035065473e-17	6.78840541236299e-16
"TRAPPC6A"	150.614419999767	-1.30479156462827	0.146665521709438	-8.89637557225766	5.77000869457085e-19	6.65745358666617e-18
"SCN4A"	144.044807888196	2.00759822555168	0.179797278719713	11.1658988381094	5.98824047419755e-29	1.22060160500228e-27
"RHBDF1"	809.379013016587	1.00944874078449	0.0703297792000045	14.3530770644653	1.01913211294816e-46	4.04592641313936e-45
"IL32"	94.1030019478147	1.84409479940098	0.185952975110563	9.91699540329766	3.51168209907123e-23	5.16923909394439e-22
"QPCTL"	2245.83691521891	-1.12127438038563	0.0512717240564306	-21.8692544676582	5.09837162061149e-106	1.46945266849264e-103
"NPC1L1"	24.6757484204325	1.14729826899776	0.337277474363243	3.40164510293427	0.000669815595757808	0.00186381783171766
"CNTN1"	3.78157018013749	-5.54087029474266	1.42193191192106	-3.89671984170947	9.75043000617965e-05	0.000311214721636888
"MARCO"	9.06043888520671	1.86405783009727	0.620762972438205	3.00284957844007	0.00267464595198923	0.00662729071769547
"GABRA1"	5.25450917112055	-5.68398474762851	1.335716437952	-4.25538279392858	2.08691664046554e-05	7.40752603589874e-05
"ANK1"	75.2950573464271	-1.1129831481397	0.221935940220233	-5.01488468715457	5.30652814282726e-07	2.26651977078493e-06
"EPHA3"	1.96548626409387	-4.53116613682012	1.67516219939497	-2.70491188164148	0.00683225106397456	0.0155078862943672
"GPM6B"	139.798009302344	-3.49576843681782	0.271027981999652	-12.8981827301592	4.60836760063299e-38	1.33088548081607e-36
"ARHGAP6"	11.6090272661989	1.17007735883912	0.475933207308271	2.45849068918035	0.0139522394363381	0.0295848618951674
"TNFRSF9"	104.381195197128	2.02049029149717	0.187971088392335	10.7489418121577	5.99453673732177e-27	1.10328568226749e-25
"DKK3"	12.3512574837778	1.69245470961989	0.504884911645438	3.35215941412098	0.000801838333198192	0.0022018468406477
"SLC4A8"	219.36189922057	1.14914136224398	0.134641041969312	8.53485196962378	1.40334987695346e-17	1.48485132722294e-16
"HHAT"	33.584659611937	1.17121926038786	0.286537678624305	4.08748778175002	4.36069634613051e-05	0.000147102048324173
"TRAF1"	104.477949783637	2.01085355288728	0.171055044560083	11.7555934001173	6.60947762262071e-32	1.51670672005712e-30
"LAMC2"	35.342265195917	1.3936083123301	0.279095555273681	4.99330170616127	5.93557238419566e-07	2.52472059116422e-06
"CDK14"	51.2349761204494	-7.77737072102379	0.8585905734304	-9.05829968520409	1.32499789095838e-19	1.59653382998338e-18
"GNA15"	20.9818563516998	-1.0617302514796	0.370922758707529	-2.86240255297132	0.0042044252679333	0.0099917500884213
"CREB3L3"	12.1329664942084	2.19175035146645	0.603125674682525	3.633986154909	0.000279075844040691	0.000826163103629911
"COL11A1"	4.99488460155191	-3.76297389492262	1.39579050657974	-2.69594461144707	0.00701893368380153	0.0158691329333643
"CDH3"	38.5002990861732	1.44016826840699	0.291668114970661	4.9376952587082	7.90512423429499e-07	3.31647002446652e-06
